epoch,total_loss,mse_0,mse_b,mse_f
0,506.8938903808594,0.15448318421840668,0.11729347705841064,0.29571741819381714
1,420.4228210449219,0.12738236784934998,0.2468719184398651,1.2211800813674927
2,426.73834228515625,0.12914372980594635,0.26395487785339355,1.2185046672821045
3,428.7202453613281,0.12969495356082916,0.26949840784072876,1.2185728549957275
4,429.6676330566406,0.12995655834674835,0.2721271812915802,1.218679428100586
5,430.21441650390625,0.13010595738887787,0.2736225724220276,1.2187453508377075
6,430.5661926269531,0.13020072877407074,0.2745656669139862,1.2187788486480713
7,430.80926513671875,0.130265012383461,0.275200754404068,1.2187902927398682
8,430.9858703613281,0.13031068444252014,0.2756478488445282,1.2187861204147339
9,431.1192626953125,0.1303442269563675,0.2759723365306854,1.2187713384628296
10,431.2230224609375,0.13036945462226868,0.27621299028396606,1.218748688697815
11,431.3056945800781,0.1303887665271759,0.27639397978782654,1.2187201976776123
12,431.37298583984375,0.13040375709533691,0.27653124928474426,1.218687653541565
13,431.42864990234375,0.13041546940803528,0.2766357660293579,1.2186516523361206
14,431.4754333496094,0.13042472302913666,0.2767151892185211,1.2186130285263062
15,431.515380859375,0.13043202459812164,0.2767750322818756,1.2185724973678589
16,431.5499267578125,0.13043780624866486,0.27681946754455566,1.218530297279358
17,431.5800476074219,0.13044238090515137,0.2768515646457672,1.2184866666793823
18,431.60675048828125,0.1304459422826767,0.2768736779689789,1.2184422016143799
19,431.63055419921875,0.13044871389865875,0.2768877148628235,1.2183969020843506
20,431.652099609375,0.13045084476470947,0.27689510583877563,1.218350887298584
21,431.6717224121094,0.13045242428779602,0.27689704298973083,1.2183043956756592
22,431.6897888183594,0.13045355677604675,0.2768945097923279,1.2182575464248657
23,431.7065124511719,0.13045431673526764,0.27688825130462646,1.2182103395462036
24,431.7221984863281,0.13045477867126465,0.27687880396842957,1.218163013458252
25,431.7369079589844,0.13045495748519897,0.27686676383018494,1.2181154489517212
26,431.75091552734375,0.13045495748519897,0.2768525779247284,1.2180677652359009
27,431.7642517089844,0.13045476377010345,0.2768365740776062,1.2180202007293701
28,431.7771301269531,0.130454421043396,0.276819109916687,1.2179725170135498
29,431.7895202636719,0.1304539442062378,0.27680039405822754,1.21792471408844
30,431.8016052246094,0.13045337796211243,0.2767806053161621,1.2178770303726196
31,431.8133850097656,0.1304527223110199,0.2767600119113922,1.2178293466567993
32,431.8249206542969,0.1304520070552826,0.2767387330532074,1.2177817821502686
33,431.8363037109375,0.1304512321949005,0.2767169773578644,1.2177343368530273
34,431.8475036621094,0.13045041263103485,0.27669474482536316,1.2176870107650757
35,431.8586120605469,0.1304495632648468,0.2766721546649933,1.2176398038864136
36,431.86962890625,0.13044869899749756,0.2766494154930115,1.217592716217041
37,431.880615234375,0.13044779002666473,0.27662649750709534,1.217545747756958
38,431.89154052734375,0.1304468810558319,0.27660343050956726,1.2174991369247437
39,431.9024353027344,0.13044597208499908,0.2765803933143616,1.2174525260925293
40,431.9133605957031,0.13044506311416626,0.27655738592147827,1.217406153678894
41,431.92425537109375,0.13044413924217224,0.27653437852859497,1.2173599004745483
42,431.93524169921875,0.1304432451725006,0.27651146054267883,1.2173138856887817
43,431.94622802734375,0.13044233620166779,0.276488721370697,1.2172679901123047
44,431.957275390625,0.13044145703315735,0.27646610140800476,1.2172222137451172
45,431.9683837890625,0.13044056296348572,0.27644363045692444,1.217176914215088
46,431.9795227050781,0.13043971359729767,0.27642136812210083,1.2171316146850586
47,431.9907531738281,0.13043886423110962,0.2763993442058563,1.2170865535736084
48,432.0019836425781,0.13043805956840515,0.27637752890586853,1.2170417308807373
49,432.013427734375,0.1304372400045395,0.2763559818267822,1.2169970273971558
50,432.0248107910156,0.13043645024299622,0.27633464336395264,1.2169525623321533
51,432.03631591796875,0.13043570518493652,0.27631354331970215,1.2169082164764404
52,432.0479431152344,0.13043494522571564,0.27629274129867554,1.2168641090393066
53,432.05963134765625,0.13043421506881714,0.27627214789390564,1.2168203592300415
54,432.0714111328125,0.13043352961540222,0.2762518525123596,1.2167766094207764
55,432.083251953125,0.1304328590631485,0.2762318551540375,1.2167329788208008
56,432.0951843261719,0.13043220341205597,0.27621209621429443,1.2166897058486938
