step,loss
0,6.230739593505859
1,2701.834228515625
2,266.4833068847656
3,1942.11865234375
4,11.039430618286133
5,3.707603931427002
6,1.9295016527175903
7,1.8410897254943848
8,1.8349435329437256
9,1.8317320346832275
10,1.8237216472625732
11,1.8080805540084839
12,1.7822802066802979
13,1.7523739337921143
14,1.7279870510101318
15,1.7180163860321045
16,1.715334415435791
17,1.7129077911376953
18,1.7093452215194702
19,1.7050447463989258
20,1.7021113634109497
21,1.7012691497802734
22,1.701103925704956
23,1.701012372970581
24,1.7008386850357056
25,1.700453519821167
26,1.6996411085128784
27,1.6981415748596191
28,1.6959795951843262
29,1.6922521591186523
30,1.6891989707946777
31,1.6884987354278564
32,1.688384771347046
33,1.6883649826049805
34,1.688347339630127
35,1.688300609588623
36,1.6881818771362305
37,1.68791663646698
38,1.6873680353164673
39,1.686380386352539
40,1.684908151626587
41,1.6814546585083008
42,1.6773484945297241
43,1.67576003074646
44,1.6750729084014893
45,1.6746785640716553
46,1.6746290922164917
47,1.6745877265930176
48,1.6745212078094482
49,1.6744036674499512
50,1.6742377281188965
51,1.6740714311599731
52,1.6739501953125
53,1.6738771200180054
54,1.673813819885254
55,1.6737267971038818
56,1.6735836267471313
57,1.673414945602417
58,1.6732776165008545
59,1.6731979846954346
60,1.6732609272003174
61,1.6731308698654175
62,1.673079490661621
63,1.6729974746704102
64,1.6729216575622559
65,1.6728687286376953
66,1.6728897094726562
67,1.6727879047393799
68,1.6727259159088135
69,1.6725515127182007
70,1.6722910404205322
71,1.6720218658447266
72,1.6716740131378174
73,1.672297477722168
74,1.6714036464691162
75,1.671335220336914
76,1.6713224649429321
77,1.671317458152771
78,1.671309232711792
79,1.6712822914123535
80,1.6712247133255005
81,1.671151876449585
82,1.6710354089736938
83,1.6705620288848877
84,1.6705665588378906
85,1.6705026626586914
86,1.6704926490783691
87,1.670487403869629
88,1.67048180103302
89,1.6704717874526978
90,1.6704490184783936
91,1.6703929901123047
92,1.6702699661254883
93,1.6700377464294434
94,1.6717848777770996
95,1.66977858543396
96,1.669518232345581
97,1.6693357229232788
98,1.6691913604736328
99,1.669267177581787
100,1.6690477132797241
101,1.668973445892334
102,1.6688542366027832
103,1.6687572002410889
104,1.6685943603515625
105,1.668359398841858
106,1.6680712699890137
107,1.6678563356399536
108,1.667769193649292
109,1.6677193641662598
110,1.6676602363586426
111,1.667548656463623
112,1.6673356294631958
113,1.6669936180114746
114,1.6666077375411987
115,1.775651216506958
116,1.6707332134246826
117,1.6664577722549438
118,1.666264295578003
119,1.6662495136260986
120,1.6662423610687256
121,1.6662243604660034
122,1.6664881706237793
123,1.6661410331726074
124,1.6660816669464111
125,1.666015863418579
126,1.6659369468688965
127,1.6658778190612793
128,1.6658411026000977
129,1.6657977104187012
130,1.6657342910766602
131,1.6653786897659302
132,1.665069341659546
133,1.6648638248443604
134,1.6648025512695312
135,1.6646496057510376
136,1.6646177768707275
137,1.6646099090576172
138,1.664801836013794
139,1.6645894050598145
140,1.6645736694335938
141,1.6645654439926147
142,1.6645599603652954
143,1.6645563840866089
144,1.6645472049713135
145,1.6645170450210571
146,1.6644740104675293
147,1.6643974781036377
148,1.664332628250122
149,1.6642197370529175
150,1.664168357849121
151,1.6639726161956787
152,1.6637487411499023
153,1.6636103391647339
154,1.6631503105163574
155,1.662912368774414
156,1.662721037864685
157,1.6625876426696777
158,1.6624045372009277
159,1.6622852087020874
160,1.6622264385223389
161,1.6621686220169067
162,1.6620888710021973
163,1.6619594097137451
164,1.6617543697357178
165,1.6615102291107178
166,1.6613116264343262
167,1.6611790657043457
168,1.6611545085906982
169,1.6611428260803223
170,1.661138653755188
171,1.6611263751983643
172,1.6610920429229736
173,1.6610106229782104
174,1.6608422994613647
175,1.6605632305145264
176,1.660677194595337
177,1.660085916519165
178,1.659865379333496
179,1.6597249507904053
180,1.6596288681030273
181,1.6595059633255005
182,1.6593680381774902
183,1.659287929534912
184,1.6589463949203491
185,1.6588431596755981
186,1.6588280200958252
187,1.6587328910827637
188,1.6587486267089844
189,1.6586858034133911
190,1.6586450338363647
191,1.6585662364959717
192,1.658426284790039
193,1.658279538154602
194,1.6569064855575562
195,1.65653657913208
196,1.6564183235168457
197,1.6563746929168701
198,1.6563457250595093
199,1.656322717666626
200,1.656304121017456
201,1.6562941074371338
202,1.6562731266021729
203,1.6562342643737793
204,1.6562058925628662
205,1.6561009883880615
206,1.655921459197998
207,1.6556437015533447
208,1.6553014516830444
209,1.6548463106155396
210,1.6609820127487183
211,1.6545231342315674
212,1.65412175655365
213,1.6540250778198242
214,1.6539734601974487
215,1.6539438962936401
216,1.6539063453674316
217,1.6538316011428833
218,1.6537820100784302
219,1.653710961341858
220,1.6536145210266113
221,1.6532996892929077
222,1.6529371738433838
223,1.6524693965911865
224,1.6520922183990479
225,1.6518290042877197
226,1.6516976356506348
227,1.6516306400299072
228,1.6515934467315674
229,1.6515796184539795
230,1.651570439338684
231,1.651559829711914
232,1.651546597480774
233,1.6515300273895264
234,1.651505708694458
235,1.6521278619766235
236,1.651496410369873
237,1.6514532566070557
238,1.651435136795044
239,1.6514036655426025
240,1.651363492012024
241,1.6513186693191528
242,1.6512515544891357
243,1.6513028144836426
244,1.6511011123657227
245,1.6510173082351685
246,1.650825023651123
247,1.6506946086883545
248,1.6504030227661133
249,1.6503243446350098
250,1.6502790451049805
251,1.650267243385315
252,1.6502149105072021
253,1.6501681804656982
254,1.6500942707061768
255,1.6499974727630615
256,1.649882197380066
257,1.649779200553894
258,1.6547393798828125
259,1.6498465538024902
260,1.6495916843414307
261,1.6495286226272583
262,1.649430274963379
263,1.6493103504180908
264,1.6491827964782715
265,1.6490530967712402
266,1.649003267288208
267,1.6488656997680664
268,1.648793339729309
269,1.6487390995025635
270,1.6487107276916504
271,1.648690938949585
272,1.6491084098815918
273,1.6486902236938477
274,1.6486668586730957
275,1.6486592292785645
276,1.64864981174469
277,1.6486402750015259
278,1.648630142211914
279,1.6486308574676514
280,1.648616075515747
281,1.6486061811447144
282,1.6485910415649414
283,1.6485629081726074
284,1.648518681526184
285,1.6499146223068237
286,1.648465871810913
287,1.648386001586914
288,1.6483139991760254
289,1.6482508182525635
