epoch,total_loss,mse_0,mse_f
0,48.28673553466797,0.19054515659809113,48.07920837402344
1,46.791717529296875,0.17878520488739014,46.605194091796875
2,33.39072036743164,0.1749073714017868,33.20869445800781
3,6.740208625793457,0.1742929220199585,6.559756755828857
4,10.538765907287598,0.1744684875011444,10.3585205078125
5,19.653213500976562,0.1741388887166977,19.473039627075195
6,13.874184608459473,0.17304939031600952,13.694162368774414
7,4.6092071533203125,0.1717422604560852,4.428447246551514
8,3.883403778076172,0.17092415690422058,3.7003509998321533
9,9.40976619720459,0.1710778772830963,9.22320556640625
10,11.892913818359375,0.17224235832691193,11.702630043029785
11,8.4446382522583,0.17419272661209106,8.251045227050781
12,3.6765081882476807,0.17667514085769653,3.4799506664276123
13,2.3739254474639893,0.17945733666419983,2.1743297576904297
14,4.469670295715332,0.18232814967632294,4.266516208648682
15,6.206569194793701,0.18511424958705902,5.999053001403809
16,5.121957302093506,0.18772220611572266,4.909189701080322
17,2.4607434272766113,0.19015346467494965,2.241917133331299
18,0.9710509777069092,0.1924339234828949,0.7457253336906433
19,1.6848078966140747,0.1945076584815979,1.453371286392212
20,3.12709903717041,0.19621938467025757,2.891077995300293
21,3.358701229095459,0.1974359154701233,3.1204421520233154
22,2.1737053394317627,0.198150172829628,1.935556173324585
23,0.954761266708374,0.1984550654888153,0.718366801738739
24,0.8721029162406921,0.19847652316093445,0.638136088848114
25,1.6737672090530396,0.19832757115364075,1.4420506954193115
26,2.2094857692718506,0.19808246195316315,1.9793401956558228
27,1.8334418535232544,0.19777175784111023,1.6040737628936768
28,0.9983068704605103,0.19739343225955963,0.7691196799278259
29,0.5588517189025879,0.19692093133926392,0.32965970039367676
30,0.788947582244873,0.19631017744541168,0.5600734353065491
31,1.198473572731018,0.19552350044250488,0.9706628918647766
32,1.2032270431518555,0.19456231594085693,0.9773751497268677
33,0.7751125693321228,0.19347810745239258,0.5519342422485352
34,0.37000787258148193,0.19235338270664215,0.1498180329799652
35,0.34995195269584656,0.19127395749092102,0.13262566924095154
36,0.610559344291687,0.19030879437923431,0.3956354856491089
37,0.7759675979614258,0.1895020306110382,0.5628162026405334
38,0.655463457107544,0.18887703120708466,0.44344305992126465
39,0.41710758209228516,0.18844588100910187,0.2056746780872345
40,0.335527628660202,0.1882152557373047,0.12429433315992355
41,0.4651647210121155,0.18818652629852295,0.2539100646972656
42,0.6132791042327881,0.18835492432117462,0.4019167721271515
43,0.5959759950637817,0.18871070444583893,0.38448721170425415
44,0.4444043040275574,0.1892402619123459,0.2327599972486496
45,0.33423322439193726,0.18992573022842407,0.12233555316925049
46,0.361738920211792,0.19074352085590363,0.14940212666988373
47,0.4468906819820404,0.19166484475135803,0.23386132717132568
48,0.45695436000823975,0.1926584541797638,0.2429589331150055
49,0.3728359341621399,0.19369377195835114,0.15764003992080688
50,0.29422301054000854,0.1947420835494995,0.0776873305439949
51,0.3014185428619385,0.19577552378177643,0.08353745937347412
52,0.36142319440841675,0.196767196059227,0.14233015477657318
53,0.3855246305465698,0.19769412279129028,0.16545449197292328
54,0.3458181321620941,0.1985413283109665,0.12503723800182343
55,0.2986477017402649,0.19930261373519897,0.07738034427165985
56,0.3000349998474121,0.19997836649417877,0.07841724157333374
57,0.3350597620010376,0.20057228207588196,0.11313483864068985
58,0.3479613959789276,0.2010899931192398,0.12571008503437042
59,0.31966882944107056,0.2015393078327179,0.09705693274736404
60,0.28646495938301086,0.20193053781986237,0.06348777562379837
61,0.28471046686172485,0.20227667689323425,0.061418015509843826
62,0.3043431043624878,0.20259246230125427,0.08083777129650116
63,0.31009674072265625,0.20289379358291626,0.08650383353233337
64,0.2920612096786499,0.20319655537605286,0.06848631054162979
65,0.27453500032424927,0.2035147249698639,0.051027458161115646
66,0.2780291736125946,0.20385847985744476,0.05456750839948654
67,0.29235604405403137,0.2042340785264969,0.06885819137096405
68,0.2950996458530426,0.20464542508125305,0.07145063579082489
69,0.28354448080062866,0.20509590208530426,0.05962956324219704
70,0.27473315596580505,0.2055894434452057,0.0504646897315979
71,0.278685063123703,0.2061292827129364,0.05401609465479851
72,0.28577256202697754,0.20671595633029938,0.0606941394507885
73,0.2833879888057709,0.20734569430351257,0.057913102209568024
74,0.27409911155700684,0.2080095261335373,0.048241809010505676
75,0.26969650387763977,0.20869405567646027,0.04345626384019852
76,0.27325600385665894,0.20938357710838318,0.04661381244659424
77,0.2763822376728058,0.2100633829832077,0.04930875450372696
78,0.27312153577804565,0.2107229232788086,0.04559185728430748
79,0.2680355906486511,0.2113572657108307,0.040043771266937256
80,0.26780837774276733,0.21196645498275757,0.03937545418739319
81,0.2711475193500519,0.2125532329082489,0.04231933131814003
82,0.2719181776046753,0.21312014758586884,0.04275420308113098
83,0.26882046461105347,0.21366775035858154,0.03937825933098793
84,0.2664034962654114,0.2141941636800766,0.036725521087646484
85,0.2673402428627014,0.21469642221927643,0.03744790330529213
86,0.26881077885627747,0.21517318487167358,0.03870682045817375
87,0.26768961548805237,0.2156272530555725,0.037365447729825974
88,0.26532888412475586,0.21606652438640594,0.03477294370532036
89,0.26480385661125183,0.2165031135082245,0.03400667384266853
90,0.26599955558776855,0.21694986522197723,0.03495456650853157
91,0.26633650064468384,0.21741706132888794,0.035036537796258926
92,0.26510727405548096,0.21790969371795654,0.033539582043886185
93,0.26420485973358154,0.2184271514415741,0.0323476567864418
94,0.2647286653518677,0.21896502375602722,0.03255109861493111
95,0.26539066433906555,0.21951791644096375,0.03285651281476021
96,0.264904648065567,0.22008268535137177,0.031977616250514984
97,0.2639797329902649,0.22065943479537964,0.030628539621829987
98,0.2638669013977051,0.2212507426738739,0.03006844036281109
99,0.2643120288848877,0.2218589335680008,0.030051952227950096
