epoch,total_loss,mse_b,mse_f
0,2318.570068359375,0.12996210157871246,2318.440185546875
1,2325.397216796875,0.01048782654106617,2325.38671875
2,2332.35302734375,0.012797540053725243,2332.34033203125
3,2339.337890625,0.0409354493021965,2339.296875
4,2346.301025390625,0.04030332714319229,2346.2607421875
5,2353.2529296875,0.02454475499689579,2353.228271484375
6,2360.205322265625,0.009790225885808468,2360.195556640625
7,2367.161865234375,0.0030053325463086367,2367.158935546875
8,2374.11962890625,0.0034268370363861322,2374.1162109375
9,2381.072265625,0.0072664665058255196,2381.06494140625
10,2388.013916015625,0.011222859844565392,2388.002685546875
11,2394.9404296875,0.013752109371125698,2394.9267578125
12,2401.84716796875,0.014901688322424889,2401.832275390625
13,2408.731201171875,0.01554040051996708,2408.715576171875
14,2415.589599609375,0.01664137654006481,2415.572998046875
15,2422.42236328125,0.018918734043836594,2422.403564453125
16,2429.23046875,0.02274910733103752,2429.207763671875
17,2436.01513671875,0.028230976313352585,2435.98681640625
18,2442.777099609375,0.03531751036643982,2442.74169921875
19,2449.51611328125,0.04396982863545418,2449.47216796875
20,2456.231201171875,0.054275739938020706,2456.177001953125
21,2462.921142578125,0.06647847592830658,2462.854736328125
22,2469.586669921875,0.08092338591814041,2469.505859375
23,2476.230224609375,0.09799394011497498,2476.13232421875
24,2482.85595703125,0.11809974908828735,2482.73779296875
25,2489.466552734375,0.14167572557926178,2489.324951171875
26,2496.063232421875,0.16913266479969025,2495.89404296875
27,2502.64306640625,0.20079435408115387,2502.4423828125
28,2509.203125,0.23689773678779602,2508.96630859375
29,2515.741943359375,0.2776149809360504,2515.46435546875
30,2522.258056640625,0.3231796324253082,2521.934814453125
31,2528.75439453125,0.3739279806613922,2528.38037109375
32,2535.235595703125,0.4302959740161896,2534.805419921875
33,2541.709228515625,0.49282464385032654,2541.21630859375
34,2548.18212890625,0.5621691346168518,2547.619873046875
35,2554.65966796875,0.6391406059265137,2554.0205078125
36,2561.141357421875,0.7247940897941589,2560.41650390625
37,2567.623779296875,0.8204612731933594,2566.80322265625
38,2574.102783203125,0.9276713132858276,2573.175048828125
39,2580.575439453125,1.047942042350769,2579.527587890625
40,2587.044921875,1.1825743913650513,2585.8623046875
41,2593.520263671875,1.3325834274291992,2592.187744140625
42,2600.02197265625,1.4985089302062988,2598.5234375
43,2606.576904296875,1.6800098419189453,2604.89697265625
44,2613.21337890625,1.8750377893447876,2611.33837890625
45,2619.949462890625,2.078925132751465,2617.87060546875
46,2626.78369140625,2.2839043140411377,2624.499755859375
47,2633.69189453125,2.4797115325927734,2631.212158203125
48,2640.6376953125,2.6558518409729004,2637.98193359375
49,2647.58642578125,2.8048603534698486,2644.781494140625
50,2654.517822265625,2.9249396324157715,2651.5927734375
51,2661.431884765625,3.0198419094085693,2658.412109375
52,2668.343017578125,3.096916913986206,2665.24609375
53,2675.26904296875,3.165008783340454,2672.10400390625
54,2682.2236328125,3.2327818870544434,2678.990966796875
55,2689.21435546875,3.307943820953369,2685.906494140625
56,2696.24462890625,3.3967580795288086,2692.847900390625
57,2703.3125,3.503675937652588,2699.808837890625
58,2710.412353515625,3.630369186401367,2706.781982421875
59,2717.531005859375,3.774777889251709,2713.75634765625
60,2724.654052734375,3.9309234619140625,2720.72314453125
61,2731.771240234375,4.089972972869873,2727.68115234375
62,2738.878173828125,4.242366790771484,2734.6357421875
63,2745.978271484375,4.380771160125732,2741.597412109375
64,2753.076416015625,4.502836227416992,2748.573486328125
65,2760.17919921875,4.6127777099609375,2755.56640625
66,2767.2880859375,4.720533847808838,2762.567626953125
67,2774.401123046875,4.838443756103516,2769.562744140625
68,2781.509765625,4.9772114753723145,2776.532470703125
69,2788.603759765625,5.142871379852295,2783.4609375
70,2795.67626953125,5.335909366607666,2790.34033203125
71,2802.723876953125,5.552041530609131,2797.171875
72,2809.74560546875,5.783733367919922,2803.9619140625
73,2816.73974609375,6.021973133087158,2810.7177734375
74,2823.69775390625,6.258134841918945,2817.439697265625
75,2830.607177734375,6.485565185546875,2824.12158203125
76,2837.452392578125,6.701260566711426,2830.751220703125
77,2844.217041015625,6.906939506530762,2837.31005859375
78,2850.876953125,7.108628273010254,2843.768310546875
79,2857.39794921875,7.315110206604004,2850.082763671875
80,2863.725830078125,7.535079479217529,2856.190673828125
81,2869.77587890625,7.774868488311768,2862.0009765625
82,2875.420654296875,8.037184715270996,2867.383544921875
83,2880.480224609375,8.321249008178711,2872.158935546875
84,2884.7119140625,8.623106002807617,2876.0888671875
