epoch,total_loss,mse_0,mse_f
0,310.7847595214844,0.246453657746315,310.4395446777344
1,1309.562744140625,0.16492599248886108,1309.169189453125
2,313.1238098144531,0.17092928290367126,312.6429138183594
3,37.54182052612305,0.1944219172000885,36.987789154052734
4,117.49496459960938,0.2195902168750763,116.91831970214844
5,117.8509292602539,0.2389461100101471,117.3377685546875
6,45.97749328613281,0.25456008315086365,45.541263580322266
7,13.305999755859375,0.2704527974128723,12.9032621383667
8,33.13289260864258,0.2860870361328125,32.71757888793945
9,59.1888313293457,0.2968784272670746,58.749210357666016
10,52.903507232666016,0.29937687516212463,52.45998764038086
11,26.845117568969727,0.29474499821662903,26.422161102294922
12,9.643158912658691,0.28658899664878845,9.252044677734375
13,9.547395706176758,0.277910053730011,9.18735122680664
14,17.767324447631836,0.26997479796409607,17.43329620361328
15,23.608461380004883,0.2627679705619812,23.296417236328125
16,22.508319854736328,0.2558971345424652,22.216184616088867
17,16.069223403930664,0.24916042387485504,15.795561790466309
18,8.362388610839844,0.24264030158519745,8.105167388916016
19,2.6969361305236816,0.23657459020614624,2.4532041549682617
20,0.44975733757019043,0.23123770952224731,0.21599867939949036
21,1.3128376007080078,0.2268970012664795,1.0854911804199219
22,3.963052272796631,0.22380420565605164,3.738903045654297
23,6.751430034637451,0.22216929495334625,6.5278096199035645
24,8.356477737426758,0.2221072018146515,8.131301879882812
25,8.245044708251953,0.2235918641090393,8.016743659973145
26,6.714964389801025,0.2264520227909088,6.482365608215332
27,4.539118766784668,0.2304091602563858,4.301350116729736
28,2.5007026195526123,0.2351381629705429,2.2571380138397217
29,1.0959144830703735,0.2403268814086914,0.8461498022079468
30,0.47318047285079956,0.245717391371727,0.21701982617378235
31,0.5207067728042603,0.25112423300743103,0.25814133882522583
32,0.9930660128593445,0.2564328610897064,0.7242429256439209
33,1.6171112060546875,0.26158666610717773,1.3422943353652954
34,2.162599563598633,0.2665705382823944,1.8821266889572144
35,2.480849027633667,0.27139541506767273,2.1950876712799072
36,2.516376256942749,0.27608558535575867,2.2256827354431152
37,2.2959189414978027,0.2806701362133026,2.0006051063537598
38,1.901555061340332,0.2851768732070923,1.601866364479065
39,1.4376804828643799,0.28962886333465576,1.1337875127792358
40,1.001516342163086,0.29404279589653015,0.6935195922851562
41,0.6634953022003174,0.29842886328697205,0.35143938660621643
42,0.4590801000595093,0.3027915954589844,0.14297182857990265
43,0.3900773525238037,0.30713099241256714,0.0699046403169632
44,0.43211299180984497,0.31144434213638306,0.10786034911870956
45,0.5450630187988281,0.315727561712265,0.21672245860099792
46,0.6839777231216431,0.3199763298034668,0.3515547215938568
47,0.8086531758308411,0.32418742775917053,0.4721676707267761
48,0.8905075788497925,0.32835930585861206,0.5499914884567261
49,0.9159370064735413,0.3324926793575287,0.5714296698570251
50,0.8860349655151367,0.3365904986858368,0.5375774502754211
51,0.8133370280265808,0.3406578302383423,0.46096697449684143
52,0.7168365120887756,0.3447017967700958,0.3605835735797882
53,0.6167294979095459,0.3487303555011749,0.25661319494247437
54,0.5300874710083008,0.352752149105072,0.16611617803573608
55,0.4681626558303833,0.35677585005760193,0.1003338024020195
56,0.4354674518108368,0.3608093559741974,0.06376934796571732
57,0.4303632080554962,0.3648599088191986,0.054776646196842194
58,0.44665637612342834,0.3689333200454712,0.06715691834688187
59,0.47566837072372437,0.37303435802459717,0.09222810715436935
60,0.5083023309707642,0.37716618180274963,0.12089157104492188
61,0.5367534756660461,0.3813309371471405,0.14534160494804382
62,0.5556470155715942,0.3855295479297638,0.16020335257053375
63,0.5625293254852295,0.38976210355758667,0.16302341222763062
64,0.5577456951141357,0.394027978181839,0.15414735674858093
65,0.5438481569290161,0.3983263373374939,0.13612711429595947
66,0.5247182846069336,0.4026561379432678,0.112844318151474
67,0.5046103000640869,0.4070166349411011,0.08855252712965012
68,0.4872979521751404,0.41140761971473694,0.06702440232038498
