epoch,total_loss,mse_b,mse_f
0,2328.72607421875,0.025964457541704178,2328.7001953125
1,2335.6884765625,0.027296045795083046,2335.6611328125
2,2342.666748046875,0.03096974641084671,2342.6357421875
3,2349.640625,0.013432422652840614,2349.627197265625
4,2356.643798828125,0.010051571764051914,2356.6337890625
5,2363.672119140625,0.017930859699845314,2363.654296875
6,2370.707275390625,0.021105971187353134,2370.686279296875
7,2377.74462890625,0.015554078854620457,2377.72900390625
8,2384.789306640625,0.007871484383940697,2384.781494140625
9,2391.8466796875,0.004489096812903881,2391.84228515625
10,2398.917724609375,0.007101635914295912,2398.91064453125
11,2405.998046875,0.01297321729362011,2405.985107421875
12,2413.082275390625,0.017960555851459503,2413.064208984375
13,2420.166259765625,0.019688809290528297,2420.146484375
14,2427.248291015625,0.018384631723165512,2427.22998046875
15,2434.3291015625,0.015771852806210518,2434.313232421875
16,2441.407958984375,0.0137775968760252,2441.394287109375
17,2448.484130859375,0.01375679299235344,2448.470458984375
18,2455.55615234375,0.016193317249417305,2455.5400390625
19,2462.621826171875,0.02076135016977787,2462.60107421875
20,2469.678466796875,0.026629654690623283,2469.65185546875
21,2476.722900390625,0.03286498039960861,2476.68994140625
22,2483.75341796875,0.03875340148806572,2483.714599609375
23,2490.768310546875,0.043935760855674744,2490.724365234375
24,2497.766357421875,0.04838847741484642,2497.718017578125
25,2504.748291015625,0.05233119800686836,2504.696044921875
26,2511.714599609375,0.05611755698919296,2511.658447265625
27,2518.666748046875,0.060151487588882446,2518.606689453125
28,2525.60791015625,0.0648447796702385,2525.54296875
29,2532.54052734375,0.070600226521492,2532.469970703125
30,2539.46923828125,0.07779809832572937,2539.391357421875
31,2546.398193359375,0.08677507936954498,2546.3115234375
32,2553.3330078125,0.09779318422079086,2553.235107421875
33,2560.27734375,0.1110021322965622,2560.166259765625
34,2567.23583984375,0.1264171600341797,2567.109375
35,2574.212158203125,0.14392532408237457,2574.068115234375
36,2581.20849609375,0.16331984102725983,2581.045166015625
37,2588.2275390625,0.1843620389699936,2588.043212890625
38,2595.27001953125,0.20685921609401703,2595.063232421875
39,2602.3369140625,0.230732262134552,2602.106201171875
40,2609.426513671875,0.25604233145713806,2609.17041015625
41,2616.53662109375,0.282969206571579,2616.253662109375
42,2623.663330078125,0.3117732107639313,2623.3515625
43,2630.801513671875,0.3427470624446869,2630.458740234375
44,2637.9453125,0.3761579990386963,2637.569091796875
45,2645.089111328125,0.4122133255004883,2644.677001953125
46,2652.22802734375,0.4510740041732788,2651.77685546875
47,2659.3583984375,0.4928896725177765,2658.865478515625
48,2666.479248046875,0.5378223657608032,2665.94140625
49,2673.589599609375,0.5860558748245239,2673.003662109375
50,2680.69287109375,0.6377947330474854,2680.05517578125
51,2687.792724609375,0.6932587027549744,2687.099365234375
52,2694.893798828125,0.7526710629463196,2694.14111328125
53,2702.001953125,0.8162369728088379,2701.185791015625
54,2709.12548828125,0.884112536907196,2708.241455078125
55,2716.26953125,0.956369936466217,2715.313232421875
56,2723.44091796875,1.0329639911651611,2722.407958984375
57,2730.64306640625,1.113704800605774,2729.529296875
58,2737.8779296875,1.1982457637786865,2736.6796875
59,2745.14599609375,1.2860939502716064,2743.85986328125
60,2752.443603515625,1.3766329288482666,2751.06689453125
61,2759.765869140625,1.4691579341888428,2758.296630859375
62,2767.10791015625,1.5629216432571411,2765.544921875
63,2774.463134765625,1.6571862697601318,2772.805908203125
64,2781.82763671875,1.7512807846069336,2780.076416015625
65,2789.197509765625,1.8446482419967651,2787.352783203125
66,2796.5703125,1.9368832111358643,2794.633544921875
67,2803.94677734375,2.0277483463287354,2801.9189453125
68,2811.32763671875,2.1171765327453613,2809.21044921875
69,2818.716552734375,2.2052524089813232,2816.51123046875
70,2826.1162109375,2.2921829223632812,2823.823974609375
71,2833.53173828125,2.378261089324951,2831.153564453125
72,2840.96875,2.463832139968872,2838.5048828125
73,2848.430908203125,2.5492660999298096,2845.881591796875
74,2855.923828125,2.6349430084228516,2853.288818359375
75,2863.45166015625,2.7212424278259277,2860.73046875
76,2871.01708984375,2.808520555496216,2868.20849609375
77,2878.6220703125,2.8970842361450195,2875.72509765625
78,2886.268310546875,2.987154960632324,2883.28125
79,2893.95458984375,3.0788486003875732,2890.875732421875
80,2901.6796875,3.1721668243408203,2898.507568359375
81,2909.441162109375,3.2670044898986816,2906.174072265625
82,2917.23583984375,3.363166332244873,2913.87255859375
83,2925.060302734375,3.4603846073150635,2921.599853515625
84,2932.91064453125,3.558342695236206,2929.352294921875
85,2940.78369140625,3.6567001342773438,2937.126953125
86,2948.677001953125,3.7551097869873047,2944.921875
87,2956.5869140625,3.85323166847229,2952.733642578125
88,2964.511962890625,3.950730085372925,2960.561279296875
89,2972.448974609375,4.047280311584473,2968.401611328125
90,2980.39599609375,4.14257287979126,2976.25341796875
91,2988.3505859375,4.236326694488525,2984.1142578125
92,2996.311279296875,4.328307628631592,2991.98291015625
93,3004.2763671875,4.418342590332031,2999.85791015625
94,3012.2421875,4.506344795227051,3007.73583984375
95,3020.2080078125,4.592334747314453,3015.61572265625
96,3028.1708984375,4.676463603973389,3023.494384765625
97,3036.128662109375,4.759030818939209,3031.36962890625
98,3044.078857421875,4.840485095977783,3039.23828125
99,3052.01953125,4.92141056060791,3047.09814453125
100,3059.9482421875,5.002511978149414,3054.94580078125
101,3067.863037109375,5.084574222564697,3062.778564453125
102,3075.7626953125,5.168428897857666,3070.59423828125
103,3083.646240234375,5.254913806915283,3078.391357421875
104,3091.51416015625,5.344826698303223,3086.16943359375
105,3099.368896484375,5.438867092132568,3093.929931640625
106,3107.211669921875,5.537571907043457,3101.674072265625
107,3115.048095703125,5.6412553787231445,3109.40673828125
108,3122.8828125,5.74995231628418,3117.1328125
109,3130.72412109375,5.863373756408691,3124.86083984375
110,3138.579345703125,5.980886459350586,3132.598388671875
111,3146.45703125,6.101521015167236,3140.35546875
112,3154.3662109375,6.2240309715271,3148.14208984375
113,3162.314208984375,6.347009658813477,3155.96728515625
114,3170.308349609375,6.469040870666504,3163.83935546875
115,3178.35205078125,6.588874816894531,3171.76318359375
116,3186.447021484375,6.7056145668029785,3179.741455078125
117,3194.591552734375,6.818850040435791,3187.772705078125
118,3202.780517578125,6.928741931915283,3195.851806640625
119,3211.0078125,7.0360188484191895,3203.9716796875
120,3219.263916015625,7.141916751861572,3212.1220703125
121,3227.54052734375,7.248053550720215,3220.29248046875
122,3235.828125,7.3562703132629395,3228.471923828125
123,3244.11865234375,7.468475818634033,3236.650146484375
124,3252.40478515625,7.586491584777832,3244.818359375
125,3260.6826171875,7.711917400360107,3252.970703125
126,3268.94677734375,7.846038341522217,3261.100830078125
127,3277.195068359375,7.989746570587158,3269.205322265625
128,3285.42529296875,8.14350414276123,3277.28173828125
129,3293.635986328125,8.307332992553711,3285.32861328125
130,3301.825439453125,8.480844497680664,3293.344482421875
131,3309.9912109375,8.663296699523926,3301.327880859375
132,3318.13037109375,8.853696823120117,3309.276611328125
133,3326.239990234375,9.050917625427246,3317.18896484375
134,3334.314208984375,9.253852844238281,3325.060302734375
135,3342.347412109375,9.461543083190918,3332.885986328125
136,3350.333740234375,9.673308372497559,3340.660400390625
137,3358.266357421875,9.8888521194458,3348.37744140625
138,3366.1396484375,10.10832691192627,3356.03125
139,3373.947021484375,10.332367897033691,3363.61474609375
140,3381.68505859375,10.562078475952148,3371.123046875
141,3389.3505859375,10.798954963684082,3378.551513671875
142,3396.942626953125,11.044794082641602,3385.89794921875
143,3404.461669921875,11.301534652709961,3393.16015625
144,3411.910888671875,11.571083068847656,3400.33984375
145,3419.294189453125,11.85512638092041,3407.43896484375
146,3426.61669921875,12.154900550842285,3414.4619140625
147,3433.88427734375,12.471012115478516,3421.413330078125
148,3441.100341796875,12.803230285644531,3428.297119140625
149,3448.265869140625,13.150378227233887,3435.115478515625
150,3455.376953125,13.510271072387695,3441.86669921875
151,3462.4248046875,13.879758834838867,3448.545166015625
152,3469.39404296875,14.254855155944824,3455.13916015625
153,3476.26220703125,14.630934715270996,3461.63134765625
154,3483.004150390625,15.003008842468262,3468.001220703125
155,3489.591064453125,15.366000175476074,3474.22509765625
156,3495.993408203125,15.715038299560547,3480.2783203125
157,3502.18310546875,16.045671463012695,3486.137451171875
158,3508.1337890625,16.354047775268555,3491.77978515625
159,3513.822265625,16.63701629638672,3497.185302734375
160,3519.22607421875,16.892173767089844,3502.333984375
161,3524.325927734375,17.117856979370117,3507.2080078125
162,3529.101806640625,17.31308364868164,3511.788818359375
163,3533.53466796875,17.4775447845459,3516.05712890625
164,3537.60546875,17.611618041992188,3519.993896484375
165,3541.29248046875,17.716262817382812,3523.576171875
166,3544.57177734375,17.79287338256836,3526.77880859375
167,3547.411865234375,17.84319305419922,3529.568603515625
168,3549.775146484375,17.86932945251465,3531.90576171875
169,3551.618408203125,17.87383270263672,3533.74462890625
170,3552.8916015625,17.859664916992188,3535.031982421875
171,3553.54833984375,17.83004379272461,3535.71826171875
172,3553.546142578125,17.788190841674805,3535.758056640625
173,3552.8515625,17.73707389831543,3535.114501953125
174,3551.44287109375,17.67923355102539,3533.763671875
175,3549.31396484375,17.616710662841797,3531.697265625
176,3546.47119140625,17.551082611083984,3528.920166015625
177,3542.93701171875,17.483501434326172,3525.45361328125
178,3538.752197265625,17.414718627929688,3521.33740234375
179,3533.973388671875,17.345033645629883,3516.62841796875
180,3528.67333984375,17.274343490600586,3511.39892578125
181,3522.92236328125,17.202219009399414,3505.72021484375
182,3516.7666015625,17.128154754638672,3499.638427734375
183,3510.20166015625,17.051851272583008,3493.14990234375
184,3503.172607421875,16.973468780517578,3486.19921875
185,3495.592529296875,16.893781661987305,3478.69873046875
186,3487.39111328125,16.814098358154297,3470.576904296875
187,3478.566650390625,16.73599624633789,3461.83056640625
188,3469.216064453125,16.660842895507812,3452.55517578125
189,3459.520751953125,16.589284896850586,3442.931396484375
190,3449.70068359375,16.521060943603516,3433.1796875
191,3439.958740234375,16.455039978027344,3423.503662109375
192,3430.446533203125,16.389312744140625,3414.05712890625
193,3421.25244140625,16.321319580078125,3404.93115234375
194,3412.385009765625,16.24803352355957,3396.136962890625
195,3403.779296875,16.166269302368164,3387.613037109375
196,3395.347412109375,16.07321548461914,3379.274169921875
197,3387.079833984375,15.967041015625,3371.11279296875
198,3379.1220703125,15.847260475158691,3363.27490234375
199,3371.765869140625,15.714834213256836,3356.051025390625
200,3365.3466796875,15.572086334228516,3349.774658203125
201,3360.099853515625,15.422555923461914,3344.67724609375
202,3356.082763671875,15.270755767822266,3340.81201171875
203,3353.227294921875,15.121759414672852,3338.10546875
204,3351.4873046875,14.980521202087402,3336.5068359375
