epoch,total_loss,mse_0,mse_f
0,11.478628158569336,0.14886197447776794,11.301273345947266
1,1831.52978515625,0.16953353583812714,1831.26318359375
2,151.8942108154297,0.17592579126358032,151.70913696289062
3,82.40690612792969,0.19626003503799438,82.20561218261719
4,275.97119140625,0.21555958688259125,275.72528076171875
5,184.43002319335938,0.2349633425474167,184.1218719482422
6,31.9773006439209,0.2594669461250305,31.564924240112305
7,62.26536178588867,0.28486496210098267,61.72186279296875
8,152.0147247314453,0.2842421531677246,151.45269775390625
9,101.69551086425781,0.26131752133369446,101.22068786621094
10,26.029407501220703,0.23111414909362793,25.659259796142578
11,1.5527315139770508,0.20356257259845734,1.2535628080368042
12,12.91333293914795,0.18273493647575378,12.646207809448242
13,30.5695858001709,0.16919036209583282,30.31160545349121
14,38.78338623046875,0.16213247179985046,38.52812576293945
15,35.087684631347656,0.1604241579771042,34.83741760253906
16,24.485416412353516,0.1629267781972885,24.24359703063965
17,13.229584693908691,0.16855773329734802,12.99713134765625
18,5.186086177825928,0.17628897726535797,4.961096286773682
19,1.3947324752807617,0.18518605828285217,1.1737807989120483
20,1.1510599851608276,0.1944681704044342,0.9305941462516785
21,3.0800371170043945,0.20354697108268738,2.8572471141815186
22,5.758496284484863,0.2120313197374344,5.531618595123291
23,8.034725189208984,0.21970771253108978,7.802967071533203
24,9.20905590057373,0.22650985419750214,8.972332000732422
25,9.090765953063965,0.23248343169689178,8.84939193725586
26,7.907375335693359,0.23775000870227814,7.661804676055908
27,6.111377239227295,0.24247103929519653,5.862024307250977
28,4.18110990524292,0.24681638181209564,3.9282569885253906
29,2.489773988723755,0.2509390115737915,2.2335522174835205
30,1.2578006982803345,0.2549581527709961,0.9982132315635681
31,0.5621239542961121,0.25895020365715027,0.2990932762622833
32,0.3686063289642334,0.26294705271720886,0.10202573239803314
33,0.5670284032821655,0.26694050431251526,0.2968100607395172
34,1.0032845735549927,0.2708916664123535,0.7293963432312012
35,1.510831594467163,0.2747443616390228,1.2333179712295532
36,1.942236065864563,0.27844011783599854,1.6612200736999512
37,2.1963343620300293,0.2819329798221588,1.9120007753372192
38,2.233246088027954,0.28519928455352783,1.945812463760376
39,2.0720412731170654,0.2882423400878906,1.7817226648330688
40,1.772948980331421,0.2910906970500946,1.47992742061615
41,1.4123343229293823,0.29379135370254517,1.1167374849319458
42,1.0601478815078735,0.2964012026786804,0.7620401382446289
43,0.7660815715789795,0.2989788055419922,0.4654650390148163
44,0.5554929971694946,0.3015778958797455,0.25231584906578064
45,0.4324926733970642,0.30424341559410095,0.12666119635105133
46,0.3864312469959259,0.3070099651813507,0.0778220072388649
47,0.39875179529190063,0.30990198254585266,0.08722247183322906
48,0.44854235649108887,0.31293514370918274,0.1339404135942459
49,0.5162779688835144,0.3161177337169647,0.19844725728034973
50,0.585917055606842,0.31945255398750305,0.26470232009887695
51,0.645768940448761,0.3229385316371918,0.32101860642433167
52,0.6885393857955933,0.3265717923641205,0.3601074516773224
53,0.7108930349349976,0.33034664392471313,0.37864014506340027
54,0.7127510905265808,0.3342563509941101,0.3765450119972229
55,0.6964795589447021,0.3382934033870697,0.3561956584453583
56,0.6660676002502441,0.34244975447654724,0.3215891420841217
57,0.6263604760169983,0.34671688079833984,0.2775788903236389
58,0.5823899507522583,0.3510858714580536,0.2292051911354065
59,0.5388309359550476,0.3555474877357483,0.18115179240703583
60,0.49959397315979004,0.3600919246673584,0.13733866810798645
61,0.46756142377853394,0.3647090792655945,0.10065801441669464
62,0.44445791840553284,0.3693884313106537,0.07284458726644516
63,0.4308473467826843,0.3741194009780884,0.054472729563713074
64,0.4262442886829376,0.3788915276527405,0.04506727680563927
65,0.42931368947029114,0.38369452953338623,0.04330320283770561
66,0.4381368160247803,0.38851895928382874,0.04727121815085411
67,0.4505098760128021,0.3933566212654114,0.054775625467300415
68,0.46423953771591187,0.39820045232772827,0.06363002955913544
69,0.4774015247821808,0.4030452370643616,0.07191542536020279
70,0.48853233456611633,0.4078877866268158,0.07817143201828003
71,0.49673473834991455,0.41272681951522827,0.08150207996368408
72,0.5016933083534241,0.4175630211830139,0.08159128576517105
73,0.5036104321479797,0.42239898443222046,0.07863883674144745
74,0.5030816197395325,0.4272388219833374,0.07323624938726425
75,0.500941276550293,0.4320880174636841,0.06621252000331879
76,0.49810320138931274,0.43695273995399475,0.05847539007663727
77,0.49542391300201416,0.4418398141860962,0.0508747436106205
78,0.49359992146492004,0.4467560350894928,0.04410041123628616
79,0.49310895800590515,0.4517083168029785,0.038623422384262085
80,0.4941917955875397,0.45670285820961,0.03467854484915733
81,0.4968692660331726,0.4617452621459961,0.03228117525577545
82,0.5009832382202148,0.4668404161930084,0.031268421560525894
83,0.5062509775161743,0.4719924032688141,0.031353674829006195
84,0.5123237371444702,0.47720441222190857,0.03218495473265648
85,0.5188400745391846,0.4824787378311157,0.03339867293834686
86,0.5254708528518677,0.48781687021255493,0.034664202481508255
87,0.5319506525993347,0.4932195842266083,0.03571535274386406
88,0.5380958318710327,0.49868687987327576,0.03636835888028145
89,0.5438099503517151,0.504218339920044,0.036527253687381744
90,0.5490776300430298,0.509812593460083,0.036178018897771835
91,0.5539520978927612,0.5154682993888855,0.03537499159574509
92,0.558534562587738,0.5211833715438843,0.03422139212489128
93,0.5629539489746094,0.5269555449485779,0.032848477363586426
94,0.5673465132713318,0.5327823758125305,0.031394731253385544
95,0.5718371272087097,0.5386609435081482,0.029987776651978493
96,0.5765262842178345,0.5445886254310608,0.028730809688568115
97,0.5814818739891052,0.5505626201629639,0.02769428864121437
98,0.5867353677749634,0.5565800666809082,0.026912521570920944
99,0.5922845602035522,0.5626384615898132,0.02638564445078373
100,0.5980985760688782,0.5687353610992432,0.026085272431373596
101,0.6041268110275269,0.5748685598373413,0.02596277743577957
102,0.6103082895278931,0.581036388874054,0.025958813726902008
103,0.6165805459022522,0.5872371792793274,0.026012631133198738
104,0.6228886842727661,0.59347003698349,0.026070063933730125
105,0.6291900277137756,0.5997341275215149,0.026089241728186607
106,0.6354579925537109,0.606029212474823,0.026043765246868134
107,0.6416823267936707,0.6123553514480591,0.0259233508259058
108,0.6478676795959473,0.6187130212783813,0.025732137262821198
109,0.6540297865867615,0.6251027584075928,0.025485284626483917
110,0.6601917743682861,0.6315255761146545,0.025204923003911972
111,0.6663793325424194,0.6379825472831726,0.02491569146513939
112,0.6726169586181641,0.6444749236106873,0.024640744552016258
113,0.678924560546875,0.6510040163993835,0.024398719891905785
114,0.6853153705596924,0.6575709581375122,0.024201950058341026
115,0.6917962431907654,0.6641770601272583,0.024055588990449905
116,0.6983664631843567,0.670823335647583,0.023958230391144753
117,0.7050204277038574,0.6775109171867371,0.023903019726276398
118,0.7117483019828796,0.6842404007911682,0.02387945167720318
119,0.7185385227203369,0.6910125613212585,0.023875363171100616
120,0.7253795266151428,0.6978277564048767,0.02387872524559498
121,0.7322613000869751,0.7046862840652466,0.02387918159365654
122,0.7391759753227234,0.7115879654884338,0.02386908046901226
123,0.7461192607879639,0.7185328602790833,0.023843994364142418
124,0.7530893683433533,0.7255204319953918,0.023802753537893295
125,0.7600879669189453,0.7325505018234253,0.023746978491544724
126,0.7671175003051758,0.7396219372749329,0.02368043176829815
127,0.7741827368736267,0.7467344403266907,0.02360810711979866
128,0.7812881469726562,0.7538869380950928,0.023535430431365967
129,0.788438081741333,0.7610787153244019,0.023467468097805977
130,0.7956356406211853,0.768308699131012,0.023408349603414536
131,0.802882969379425,0.7755761742591858,0.023360885679721832
132,0.8101805448532104,0.7828802466392517,0.023326588794589043
133,0.8175281882286072,0.790220320224762,0.023305607959628105
134,0.8249238133430481,0.7975952625274658,0.023297077044844627
135,0.8323656320571899,0.8050047755241394,0.023299435153603554
136,0.8398512005805969,0.812448263168335,0.02331085503101349
137,0.847378134727478,0.8199251890182495,0.023329460993409157
138,0.8549448847770691,0.8274354934692383,0.023353708907961845
139,0.8625501990318298,0.8349789381027222,0.023382466286420822
140,0.8701930046081543,0.8425551652908325,0.02341522090137005
141,0.8778735995292664,0.850164532661438,0.02345181442797184
142,0.8855924010276794,0.8578069806098938,0.023492591455578804
143,0.8933499455451965,0.8654826283454895,0.023538075387477875
144,0.9011472463607788,0.8731918334960938,0.023588865995407104
145,0.9089851975440979,0.8809348344802856,0.023645492270588875
146,0.9168639779090881,0.8887118101119995,0.023708296939730644
147,0.9247845411300659,0.8965232372283936,0.023777388036251068
148,0.9327467679977417,0.9043693542480469,0.02385259047150612
149,0.9407504796981812,0.912250280380249,0.023933520540595055
150,0.9487953782081604,0.9201663136482239,0.02401958405971527
151,0.9568811058998108,0.9281178116798401,0.024110112339258194
152,0.9650070071220398,0.9361047744750977,0.024204416200518608
153,0.9731725454330444,0.9441272616386414,0.024301916360855103
154,0.9813774824142456,0.9521855115890503,0.02440209873020649
155,0.9896215796470642,0.9602795243263245,0.02450466714799404
156,0.9979041814804077,0.9684089422225952,0.024609465152025223
157,1.0062257051467896,0.9765740036964417,0.024716520681977272
158,1.0145859718322754,0.9847745895385742,0.02482598088681698
159,1.0229852199554443,0.993010401725769,0.024938130751252174
160,1.0314234495162964,1.0012813806533813,0.025053244084119797
161,1.0399008989334106,1.009587287902832,0.025171605870127678
162,1.0484174489974976,1.0179280042648315,0.02529350481927395
163,1.0569735765457153,1.0263034105300903,0.025419164448976517
164,1.0655690431594849,1.0347133874893188,0.025548696517944336
165,1.0742034912109375,1.0431575775146484,0.025682145729660988
166,1.0828773975372314,1.0516362190246582,0.025819582864642143
167,1.0915902853012085,1.060149073600769,0.025960884988307953
168,1.1003422737121582,1.0686962604522705,0.026105986908078194
169,1.109133005142212,1.077277660369873,0.026254739612340927
170,1.11796236038208,1.0858933925628662,0.026407046243548393
171,1.1268304586410522,1.09454345703125,0.026562707498669624
