epoch,total_loss,mse_0,mse_b,mse_f
0,0.30355116724967957,0.6324708461761475,0.037342943251132965,0.009372037835419178
1,19.617372512817383,2.159360408782959,18.791400909423828,0.3848359286785126
2,1.4977885484695435,0.7226296067237854,1.2252025604248047,0.005391335114836693
3,0.6419737339019775,0.6632812023162842,0.3191708028316498,0.12165763974189758
4,0.9485593438148499,0.6920616626739502,0.6312865018844604,0.05833275616168976
5,0.29748836159706116,0.6244305372238159,0.026965148746967316,0.0007177101215347648
6,0.7324591875076294,0.6429315805435181,0.44421249628067017,0.05047839879989624
7,1.1669319868087769,0.6756012439727783,0.855955958366394,0.08712372183799744
8,0.599532961845398,0.6479268074035645,0.2993711829185486,0.0753588005900383
9,0.336740642786026,0.6424728631973267,0.04479183256626129,0.03950144723057747
10,1.1090185642242432,0.6900579929351807,0.7991887927055359,0.008746414445340633
11,1.200049638748169,0.692384660243988,0.8679360747337341,0.03917066007852554
12,0.5093053579330444,0.6422300934791565,0.19087034463882446,0.03805176913738251
13,0.41373029351234436,0.6207786798477173,0.11727458983659744,0.007659353781491518
14,1.2679016590118408,0.6717407703399658,0.9448834657669067,0.060724977403879166
15,1.3711087703704834,0.6997157335281372,1.0245442390441895,0.11287402361631393
16,0.6596123576164246,0.6733501553535461,0.3374245762825012,0.061144597828388214
17,0.31373634934425354,0.6513664722442627,0.006782149896025658,0.01184025127440691
18,0.8137215375900269,0.6677001714706421,0.46579214930534363,0.0717565268278122
19,1.274075984954834,0.6859858632087708,0.8903964757919312,0.12834902107715607
20,1.0218411684036255,0.674761176109314,0.659125566482544,0.08138260245323181
21,0.49349576234817505,0.6545040011405945,0.1628882884979248,0.024280590936541557
22,0.34996938705444336,0.6445587277412415,0.015686357393860817,0.04661959782242775
23,0.708578884601593,0.639775276184082,0.35222214460372925,0.09156416356563568
24,1.0763673782348633,0.6366382241249084,0.7100681662559509,0.07941651344299316
25,1.0558637380599976,0.6384609341621399,0.6825283765792847,0.048392899334430695
26,0.7563406825065613,0.6379772424697876,0.3761046528816223,0.035273704677820206
27,0.4687216877937317,0.6275856494903564,0.09489709138870239,0.023985164240002632
28,0.3585222065448761,0.615989625453949,0.0003261830424889922,0.00989976804703474
29,0.42990198731422424,0.6202256679534912,0.07245057076215744,0.02098575048148632
30,0.5899829864501953,0.6398786306381226,0.21021221578121185,0.06465207785367966
31,0.722062349319458,0.6535435318946838,0.31905049085617065,0.10316161066293716
32,0.7641187906265259,0.6480177044868469,0.35286280512809753,0.11258921772241592
33,0.7306555509567261,0.6333023309707642,0.31490999460220337,0.11397331207990646
34,0.6612434387207031,0.6236032843589783,0.23585084080696106,0.1210235133767128
35,0.5762711763381958,0.6201136708259583,0.14972808957099915,0.10910993814468384
36,0.4883808493614197,0.6184486746788025,0.07906319200992584,0.06518126279115677
37,0.4231237471103668,0.6203240156173706,0.032110508531332016,0.025779251009225845
38,0.40157726407051086,0.6284751296043396,0.007840425707399845,0.03093804605305195
39,0.41501402854919434,0.6372234225273132,0.0018287722487002611,0.0676017478108406
40,0.43821439146995544,0.63780677318573,0.009572417475283146,0.09292741864919662
41,0.4623192548751831,0.630596399307251,0.02693866193294525,0.09697253257036209
42,0.4931357502937317,0.6235321164131165,0.04914502799510956,0.10105232894420624
43,0.5234771966934204,0.6210083365440369,0.07023587822914124,0.10627241432666779
44,0.5338241457939148,0.622298002243042,0.08459246158599854,0.08951374143362045
45,0.5239603519439697,0.6294438242912292,0.0895693376660347,0.054590288549661636
46,0.5177064538002014,0.646263837814331,0.08641011267900467,0.0406092032790184
47,0.5296734571456909,0.6679106950759888,0.07871271669864655,0.06751903891563416
48,0.5472924113273621,0.680601954460144,0.06992506980895996,0.10868003219366074
49,0.5548474192619324,0.6765634417533875,0.06164385378360748,0.1339283287525177
50,0.5539407134056091,0.6623476147651672,0.05356656387448311,0.1440013200044632
51,0.5479435324668884,0.6498035192489624,0.04453212395310402,0.14271239936351776
52,0.5291401147842407,0.6454318761825562,0.03391769528388977,0.11525513976812363
53,0.4974721670150757,0.6504837870597839,0.022598793730139732,0.06136297434568405
54,0.47349613904953003,0.6640140414237976,0.012594161555171013,0.01760300062596798
55,0.47617265582084656,0.6802085638046265,0.005692869424819946,0.018864121288061142
56,0.4969879388809204,0.6873891353607178,0.002257393905892968,0.0532645508646965
57,0.5119642019271851,0.6776554584503174,0.0012218772899359465,0.08016408979892731
58,0.5138893127441406,0.6563075184822083,0.0011872465256601572,0.08330213278532028
59,0.514481246471405,0.6362971663475037,0.001364335184916854,0.0775991827249527
60,0.5211673974990845,0.6254538297653198,0.0017370739951729774,0.0754624605178833
61,0.5286810398101807,0.6224623918533325,0.0027575441636145115,0.07353568077087402
62,0.5338441133499146,0.6242958307266235,0.004897289909422398,0.07094436138868332
63,0.5419076085090637,0.631657600402832,0.008215665817260742,0.07421004772186279
64,0.5533539652824402,0.6447055339813232,0.012152108363807201,0.07870683819055557
65,0.5597582459449768,0.6583783030509949,0.015766765922307968,0.06990884244441986
66,0.5598983764648438,0.6658821702003479,0.01830681599676609,0.05216829851269722
67,0.5672088861465454,0.6651362776756287,0.01957475207746029,0.054396532475948334
68,0.5896432399749756,0.6597707271575928,0.019810903817415237,0.08918524533510208
69,0.6109288930892944,0.6548385620117188,0.019346933811903,0.12220417708158493
70,0.6099342107772827,0.6528849005699158,0.018420042470097542,0.11275044083595276
71,0.589995265007019,0.653378427028656,0.017183465883135796,0.06789194792509079
72,0.5740586519241333,0.6536504626274109,0.01572665013372898,0.03137589991092682
73,0.5780278444290161,0.6504870057106018,0.014053250662982464,0.033145472407341
