epoch,total_loss,mse_0,mse_b,mse_f
0,0.19002288579940796,0.4850762188434601,0.002493422944098711,0.007968668825924397
1,1.148266315460205,0.25541773438453674,1.0511677265167236,0.0096441600471735
2,0.24664181470870972,0.3985765278339386,0.09732414782047272,0.003021218115463853
3,0.3709550201892853,0.608746349811554,0.13860321044921875,0.00841153971850872
4,0.6962106823921204,0.7151400446891785,0.4185243248939514,0.019854113459587097
5,0.6269513964653015,0.6978079080581665,0.35791218280792236,0.01342574693262577
6,0.4063536524772644,0.6268723011016846,0.1675388216972351,0.004695560783147812
7,0.23869715631008148,0.5460798740386963,0.03210029378533363,0.0011627296917140484
8,0.18228663504123688,0.47537681460380554,0.002897254191339016,0.0005127173499204218
9,0.21343182027339935,0.4214453101158142,0.05434446036815643,0.0006984016508795321
10,0.2810121178627014,0.3850225508213043,0.13521666824817657,0.0012659247731789947
11,0.3386649787425995,0.36429473757743835,0.19994039833545685,0.0020409259013831615
12,0.3626844882965088,0.35632848739624023,0.22605665028095245,0.0027482446748763323
13,0.35204142332077026,0.35828697681427,0.21369241178035736,0.0032418922055512667
14,0.31804952025413513,0.3679112195968628,0.17502176761627197,0.0035747718065977097
15,0.27489110827445984,0.38346466422080994,0.12485818564891815,0.0038783270865678787
16,0.2345004379749298,0.4035637676715851,0.0756450742483139,0.004244934767484665
17,0.2049158662557602,0.427032470703125,0.03587919846177101,0.004684071056544781
18,0.19038061797618866,0.4527655839920044,0.010262626223266125,0.005129458382725716
19,0.19186753034591675,0.47955819964408875,0.0002880443644244224,0.0054623521864414215
20,0.2073516696691513,0.5059144496917725,0.004579819273203611,0.005541601218283176
21,0.23193442821502686,0.5299806594848633,0.0190291665494442,0.005256519187241793
22,0.2587251365184784,0.5498411059379578,0.03753513842821121,0.004590882919728756
23,0.2809455394744873,0.5640659332275391,0.053878046572208405,0.0036400179378688335
24,0.29403451085090637,0.5720468163490295,0.06369755417108536,0.0025699594989418983
25,0.2964576780796051,0.5739564299583435,0.06533470749855042,0.0015606191009283066
26,0.2892625331878662,0.5705089569091797,0.05949766933917999,0.0007636062218807638
27,0.2750745415687561,0.5626958608627319,0.048372697085142136,0.0002799933135975152
28,0.25710195302963257,0.5515774488449097,0.03471657633781433,0.0001543511898489669
29,0.23841291666030884,0.538148045539856,0.02118796296417713,0.00038040612707845867
30,0.2215302735567093,0.5232660174369812,0.009967331774532795,0.0009132294217124581
31,0.2082793265581131,0.5076346397399902,0.0026086075231432915,0.001682975678704679
32,0.19978857040405273,0.4918171465396881,3.043250944756437e-05,0.002606690162792802
33,0.19655096530914307,0.47627219557762146,0.0025602446403354406,0.0035968180745840073
34,0.1984795331954956,0.46139609813690186,0.009970758110284805,0.00456692511215806
35,0.20493291318416595,0.4475593864917755,0.021489277482032776,0.005436321720480919
36,0.21473713219165802,0.43512260913848877,0.0358106903731823,0.006135603412985802
