epoch,total_loss,mse_0,mse_b,mse_f
0,0.24434740841388702,0.55788254737854,0.03762419894337654,0.07352734357118607
1,0.18990479409694672,0.41560280323028564,0.05529831349849701,0.0007848985842429101
2,0.19324183464050293,0.4135434627532959,0.05889150872826576,0.0008710593683645129
3,0.19201864302158356,0.41493502259254456,0.056775350123643875,0.0009107609512284398
4,0.1917697936296463,0.4155181646347046,0.05591185763478279,0.0009158088359981775
5,0.1918552666902542,0.4158177375793457,0.05547723174095154,0.0009159211185760796
6,0.19208523631095886,0.4159930944442749,0.05522724986076355,0.0009154737344942987
7,0.1923866719007492,0.4161064028739929,0.05506814271211624,0.0009149623801931739
8,0.19272613525390625,0.4161863625049591,0.05495695397257805,0.0009144168579950929
9,0.1930875927209854,0.4162469804286957,0.05487305298447609,0.0009138368186540902
10,0.1934630125761032,0.4162953495979309,0.054806049913167953,0.0009132386767305434
11,0.19384810328483582,0.41633543372154236,0.054750386625528336,0.0009126468212343752
12,0.19424034655094147,0.4163694381713867,0.05470286309719086,0.0009120813338086009
13,0.1946384459733963,0.4163987934589386,0.054661668837070465,0.0009115544962696731
14,0.19504140317440033,0.41642433404922485,0.05462560057640076,0.0009110686951316893
15,0.1954486072063446,0.416446715593338,0.05459382385015488,0.0009106235229410231
16,0.19585955142974854,0.4164663553237915,0.054565686732530594,0.0009102158364839852
17,0.1962738335132599,0.4164837896823883,0.05454067140817642,0.0009098422015085816
18,0.19669105112552643,0.4164992868900299,0.05451832711696625,0.0009094983688555658
19,0.19711104035377502,0.416513055562973,0.0544983372092247,0.0009091810788959265
20,0.1975335031747818,0.41652533411979675,0.05448036640882492,0.0009088861406780779
21,0.19795826077461243,0.4165363311767578,0.05446421727538109,0.00090861099306494
22,0.19838516414165497,0.41654619574546814,0.05444968491792679,0.0009083525510504842
23,0.19881409406661987,0.4165550172328949,0.0544365793466568,0.000908108486328274
24,0.1992449164390564,0.41656291484832764,0.05442478135228157,0.000907877110876143
25,0.19967754185199738,0.4165700376033783,0.05441414192318916,0.0009076566202566028
26,0.20011192560195923,0.4165763258934021,0.05440458655357361,0.0009074462577700615
27,0.2005479484796524,0.41658198833465576,0.05439598858356476,0.0009072441607713699
28,0.20098553597927094,0.41658705472946167,0.054388292133808136,0.0009070502128452063
29,0.20142462849617004,0.41659149527549744,0.05438138544559479,0.0009068630752153695
30,0.20186521112918854,0.4165954887866974,0.05437522381544113,0.0009066827478818595
31,0.20230720937252045,0.41659894585609436,0.05436974763870239,0.0009065082995221019
32,0.2027505785226822,0.4166020154953003,0.0543648898601532,0.0009063397883437574
33,0.20319528877735138,0.4166047275066376,0.05436059832572937,0.0009061762830242515
34,0.20364128053188324,0.4166070520877838,0.05435682833194733,0.0009060181328095496
35,0.20408855378627777,0.4166090190410614,0.05435353145003319,0.0009058644063770771
36,0.20453700423240662,0.4166107773780823,0.05435064435005188,0.000905715161934495
37,0.20498670637607574,0.4166122376918793,0.0543481819331646,0.0009055703994818032
38,0.2054375559091568,0.4166134297847748,0.05434606969356537,0.0009054300026036799
39,0.20588956773281097,0.4166143834590912,0.054344289004802704,0.0009052931563928723
40,0.2063426822423935,0.41661521792411804,0.05434279888868332,0.0009051603265106678
41,0.20679694414138794,0.4166157841682434,0.05434159189462662,0.0009050308726727962
42,0.20725224912166595,0.4166162312030792,0.054340630769729614,0.0009049049112945795
43,0.20770865678787231,0.4166164994239807,0.05433989688754082,0.000904782151337713
44,0.20816610753536224,0.41661664843559265,0.054339367896318436,0.0009046629420481622
45,0.20862457156181335,0.41661664843559265,0.05433901399374008,0.0009045459446497262
