step,loss
0,0.5333604216575623
1,0.5283926129341125
2,0.5274534821510315
3,0.5256595611572266
4,0.5247738361358643
5,0.5235874652862549
6,0.5218403339385986
7,0.5192027688026428
8,0.5129691958427429
9,0.7426894903182983
10,0.5048956274986267
11,0.5025749206542969
12,0.48060864210128784
13,0.4749845862388611
14,0.4696137309074402
15,0.4594148099422455
16,0.4545173645019531
17,0.4486476480960846
18,0.442390114068985
19,0.43972814083099365
20,0.4314177632331848
21,0.42498189210891724
22,0.4219561815261841
23,0.41910186409950256
24,0.41352060437202454
25,0.4060266613960266
26,0.4003197252750397
27,0.39672330021858215
28,0.39512738585472107
29,0.3907284438610077
30,0.38467565178871155
31,0.3763817548751831
32,0.3731923997402191
33,0.37065187096595764
34,0.3694438338279724
35,0.3666774034500122
36,0.3623673915863037
37,0.3593830466270447
38,0.35678941011428833
39,0.35410845279693604
40,0.35129016637802124
41,0.34753528237342834
42,0.3374445140361786
43,0.3266904950141907
44,0.3312123715877533
45,0.3165085017681122
46,0.31383535265922546
47,0.31220850348472595
48,0.3113449513912201
49,0.3098570704460144
50,0.3098570704460144
