epoch,total_loss,mse_b,mse_f
0,2322.74658203125,0.06957725435495377,2322.677001953125
1,2329.638427734375,0.0031427780631929636,2329.63525390625
2,2336.638916015625,0.03133876994252205,2336.607666015625
3,2343.637939453125,0.047407280653715134,2343.590576171875
4,2350.6201171875,0.03713110089302063,2350.5830078125
5,2357.609375,0.023990018293261528,2357.58544921875
6,2364.61767578125,0.02057028003036976,2364.59716796875
7,2371.644775390625,0.027611900120973587,2371.6171875
8,2378.6826171875,0.038938842713832855,2378.643798828125
9,2385.723388671875,0.04766936972737312,2385.67578125
10,2392.761474609375,0.05044616013765335,2392.7109375
11,2399.795166015625,0.04757625237107277,2399.74755859375
12,2406.823974609375,0.04120892658829689,2406.78271484375
13,2413.84814453125,0.033807117491960526,2413.814453125
14,2420.8671875,0.027391163632273674,2420.83984375
15,2427.879638671875,0.023301947861909866,2427.8564453125
16,2434.88427734375,0.02221612073481083,2434.862060546875
17,2441.87841796875,0.024259064346551895,2441.854248046875
18,2448.8603515625,0.029147394001483917,2448.831298828125
19,2455.828369140625,0.036338821053504944,2455.7919921875
20,2462.781005859375,0.045174092054367065,2462.73583984375
21,2469.717529296875,0.05498892813920975,2469.66259765625
22,2476.63818359375,0.06518670916557312,2476.572998046875
23,2483.54296875,0.075275719165802,2483.4677734375
24,2490.433349609375,0.08488886803388596,2490.348388671875
25,2497.310546875,0.09379612654447556,2497.216796875
26,2504.17724609375,0.10190717875957489,2504.075439453125
27,2511.036865234375,0.1092739999294281,2510.927490234375
28,2517.892578125,0.1160917580127716,2517.7763671875
29,2524.7490234375,0.12269517034292221,2524.626220703125
30,2531.61181640625,0.12955157458782196,2531.482177734375
31,2538.486328125,0.13723903894424438,2538.34912109375
32,2545.379638671875,0.1463877409696579,2545.233154296875
33,2552.29833984375,0.15761196613311768,2552.140625
34,2559.24853515625,0.17146894335746765,2559.0771484375
35,2566.236328125,0.18845407664775848,2566.0478515625
36,2573.26513671875,0.20900294184684753,2573.05615234375
37,2580.335205078125,0.23346655070781708,2580.101806640625
38,2587.44287109375,0.262055903673172,2587.180908203125
39,2594.581298828125,0.29478007555007935,2594.28662109375
40,2601.74169921875,0.3313920497894287,2601.410400390625
41,2608.91357421875,0.3713630437850952,2608.542236328125
42,2616.087646484375,0.4139140546321869,2615.673828125
43,2623.25732421875,0.4581091105937958,2622.79931640625
44,2630.4189453125,0.5029911398887634,2629.916015625
45,2637.573486328125,0.547724187374115,2637.02587890625
46,2644.7265625,0.5916977524757385,2644.134765625
47,2651.8857421875,0.6345703601837158,2651.251220703125
48,2659.063720703125,0.6762583255767822,2658.387451171875
49,2666.27294921875,0.716884970664978,2665.55615234375
50,2673.5263671875,0.7567119598388672,2672.769775390625
51,2680.83544921875,0.7960765957832336,2680.039306640625
52,2688.207763671875,0.8353326320648193,2687.372314453125
53,2695.646728515625,0.8747996687889099,2694.77197265625
54,2703.151611328125,0.9147260189056396,2702.23681640625
55,2710.71337890625,0.9552661180496216,2709.758056640625
56,2718.322021484375,0.9964733123779297,2717.325439453125
57,2725.9599609375,1.0383050441741943,2724.921630859375
58,2733.611083984375,1.080644130706787,2732.530517578125
59,2741.25830078125,1.1233233213424683,2740.135009765625
60,2748.8876953125,1.1661546230316162,2747.721435546875
61,2756.488037109375,1.2089554071426392,2755.279052734375
62,2764.052001953125,1.2515672445297241,2762.800537109375
63,2771.5751953125,1.2938653230667114,2770.28125
64,2779.056640625,1.3357555866241455,2777.720947265625
65,2786.497802734375,1.377164602279663,2785.12060546875
66,2793.90185546875,1.4180238246917725,2792.48388671875
67,2801.273193359375,1.4582533836364746,2799.81494140625
68,2808.617431640625,1.497750997543335,2807.11962890625
69,2815.939453125,1.5363924503326416,2814.403076171875
70,2823.244873046875,1.5740433931350708,2821.6708984375
71,2830.53857421875,1.6105812788009644,2828.927978515625
72,2837.82373046875,1.645917296409607,2836.177734375
73,2845.10546875,1.6800217628479004,2843.425537109375
74,2852.3857421875,1.7129387855529785,2850.6728515625
75,2859.669189453125,1.7447954416275024,2857.92431640625
76,2866.95849609375,1.7757956981658936,2865.1826171875
77,2874.258544921875,1.8062031269073486,2872.452392578125
78,2881.5751953125,1.8363242149353027,2879.73876953125
79,2888.914794921875,1.866490364074707,2887.04833984375
80,2896.28466796875,1.8970450162887573,2894.3876953125
81,2903.69384765625,1.9283368587493896,2901.765625
82,2911.150390625,1.9607152938842773,2909.189697265625
83,2918.662353515625,1.9945296049118042,2916.667724609375
84,2926.237548828125,2.0301263332366943,2924.20751953125
85,2933.881591796875,2.0678493976593018,2931.813720703125
86,2941.597900390625,2.1080384254455566,2939.48974609375
87,2949.388916015625,2.1510255336761475,2947.23779296875
88,2957.2529296875,2.197134494781494,2955.055908203125
89,2965.187255859375,2.246676445007324,2962.940673828125
90,2973.188720703125,2.2999424934387207,2970.888671875
91,2981.24951171875,2.3571884632110596,2978.892333984375
92,2989.364013671875,2.418613910675049,2986.9453125
93,2997.523681640625,2.484330177307129,2995.039306640625
94,3005.72216796875,2.5543200969696045,3003.16796875
95,3013.9501953125,2.628387212753296,3011.32177734375
96,3022.19970703125,2.706108808517456,3019.49365234375
97,3030.46240234375,2.7868058681488037,3027.675537109375
98,3038.728515625,2.869541883468628,3035.85888671875
99,3046.98974609375,2.953160285949707,3044.03662109375
100,3055.238525390625,3.036365032196045,3052.2021484375
101,3063.46728515625,3.1178293228149414,3060.349365234375
102,3071.670654296875,3.196310043334961,3068.474365234375
103,3079.845458984375,3.2707531452178955,3076.57470703125
104,3087.988525390625,3.3403706550598145,3084.648193359375
