epoch,total_loss,mse_0,mse_b,mse_f
0,0.4194868206977844,0.6492786407470703,0.14677074551582336,0.002023879671469331
1,10.272642135620117,1.357659935951233,9.688680648803711,0.39510923624038696
2,0.4078046381473541,0.6290818452835083,0.1483486294746399,0.023595063015818596
3,1.2926913499832153,0.7514999508857727,0.9305006861686707,0.10841120779514313
4,0.814822793006897,0.685698926448822,0.5056536197662354,0.023323239758610725
5,0.31211596727371216,0.6210893392562866,0.025203341618180275,0.04736517369747162
6,1.1826186180114746,0.6583774089813232,0.8615565896034241,0.1146976575255394
7,1.2370985746383667,0.6603823900222778,0.9055766463279724,0.14291810989379883
8,0.5537438988685608,0.6344466805458069,0.24034051597118378,0.1111854761838913
9,0.30765625834465027,0.6265542507171631,0.015760984271764755,0.038154441863298416
10,0.710234522819519,0.6442952752113342,0.3964203894138336,0.04904709383845329
11,0.9934116005897522,0.6548227071762085,0.6467912197113037,0.11563750356435776
12,0.7562981247901917,0.6449503898620605,0.43446511030197144,0.06888370215892792
13,0.38677406311035156,0.65412437915802,0.08617374300956726,0.020621245726943016
14,0.345302939414978,0.66590416431427,0.039169568568468094,0.02992055006325245
15,0.7686716318130493,0.6594696044921875,0.4372902810573578,0.0908697247505188
16,1.1287113428115845,0.6645104289054871,0.7643324136734009,0.1650191843509674
17,1.0328147411346436,0.6725902557373047,0.6581701636314392,0.18036843836307526
18,0.692609965801239,0.6675411462783813,0.33343860507011414,0.13193157315254211
19,0.41018199920654297,0.6470593810081482,0.08035483211278915,0.05172627046704292
20,0.31995442509651184,0.6317691206932068,0.00035988344461657107,0.01488251332193613
21,0.3843700885772705,0.6307998895645142,0.054877303540706635,0.026248352602124214
22,0.5138715505599976,0.6367574334144592,0.1612769216299057,0.07228012382984161
23,0.6232006549835205,0.6373834013938904,0.24165748059749603,0.13288666307926178
24,0.660930871963501,0.6313028335571289,0.25802403688430786,0.17331570386886597
25,0.6294350028038025,0.6283472776412964,0.21960999071598053,0.17888495326042175
26,0.5502997636795044,0.6326181292533875,0.15463215112686157,0.1378968060016632
27,0.4664173722267151,0.6428781151771545,0.08637843281030655,0.09153395146131516
28,0.400922566652298,0.6460503339767456,0.03199179470539093,0.05568309500813484
29,0.3689449727535248,0.6408812999725342,0.0036783558316528797,0.03945095092058182
30,0.37075117230415344,0.6408056616783142,0.0034607441630214453,0.035299647599458694
31,0.39796212315559387,0.6478455066680908,0.02368275076150894,0.04046739637851715
32,0.4473344683647156,0.6466960906982422,0.05575265735387802,0.07064241170883179
33,0.5032526254653931,0.6333760619163513,0.09147439897060394,0.1077127456665039
34,0.5566221475601196,0.6255209445953369,0.11908974498510361,0.1525362730026245
35,0.5867183804512024,0.6261064410209656,0.12997636198997498,0.18500933051109314
36,0.5940783023834229,0.6285938024520874,0.1260809600353241,0.20036591589450836
37,0.5760270357131958,0.6268959045410156,0.11315111815929413,0.1772245317697525
38,0.5483781099319458,0.6253510117530823,0.09370329976081848,0.14760394394397736
39,0.5166531205177307,0.6293696165084839,0.07023323327302933,0.1213732659816742
40,0.4900505542755127,0.6371750831604004,0.04810311272740364,0.10238322615623474
41,0.46666455268859863,0.6368749141693115,0.03151215612888336,0.07769978791475296
42,0.44589245319366455,0.6291971802711487,0.020104307681322098,0.046633049845695496
43,0.43219172954559326,0.6250961422920227,0.011915321461856365,0.022352200001478195
44,0.4279765784740448,0.6253149509429932,0.006249436642974615,0.015841471031308174
45,0.43655842542648315,0.625231921672821,0.0029714202973991632,0.031223943457007408
46,0.4442394971847534,0.6232262253761292,0.0013004534412175417,0.03813932463526726
47,0.45020127296447754,0.6234350204467773,0.000494872743729502,0.041353993117809296
48,0.45318201184272766,0.6295965313911438,0.00045588071225211024,0.04135008528828621
49,0.46479249000549316,0.6410817503929138,0.0010373485274612904,0.05397573113441467
50,0.4781971275806427,0.6469736695289612,0.0015605023363605142,0.06811081618070602
51,0.4893912076950073,0.6462594866752625,0.0017538212705403566,0.07953646034002304
52,0.4936221241950989,0.6475247740745544,0.001901470124721527,0.07740181684494019
53,0.4957912862300873,0.650041937828064,0.0020432830788195133,0.07107719779014587
54,0.499057412147522,0.6457278728485107,0.0019190908642485738,0.068818099796772
55,0.5016617774963379,0.6373090147972107,0.0015631405403837562,0.06667328625917435
56,0.5016350746154785,0.6350045800209045,0.0013105375692248344,0.05790901929140091
57,0.49386006593704224,0.6408213973045349,0.0012064449256286025,0.032631758600473404
58,0.4906323254108429,0.6478297710418701,0.001064178068190813,0.015491003170609474
59,0.4960339665412903,0.6479242444038391,0.000936649739742279,0.016518888995051384
60,0.5099708437919617,0.6460631489753723,0.0010053693549707532,0.03264843299984932
61,0.5185331106185913,0.6471918225288391,0.0010898845503106713,0.03841302916407585
62,0.528840959072113,0.6449538469314575,0.0011581379221752286,0.048248499631881714
63,0.5402121543884277,0.6358175873756409,0.0015071483794599771,0.06085413694381714
64,0.5557476282119751,0.6293271780014038,0.002142717596143484,0.07857155054807663
65,0.5657413601875305,0.630050778388977,0.002554250881075859,0.08633963763713837
