step,loss
0,0.001189845846965909
1,2.267793655395508
2,0.09157522767782211
3,0.0034180618822574615
4,0.00024203339125961065
5,9.739426604937762e-05
6,7.441808702424169e-05
7,5.066277662990615e-05
8,2.917899109888822e-05
9,1.936412081704475e-05
10,1.7830650904215872e-05
11,1.7328799003735185e-05
12,1.674459235800896e-05
13,1.5892961528152227e-05
14,1.5064362742123194e-05
15,1.4804655620537233e-05
16,1.4662025932921097e-05
17,1.4553086657542735e-05
18,1.442776556359604e-05
19,1.4240311429603025e-05
20,1.3951410437584855e-05
21,1.3698474504053593e-05
22,1.3540437066694722e-05
23,1.3464343282976188e-05
24,1.3353357644518837e-05
25,1.3186438081902452e-05
26,1.3039926670899149e-05
27,1.2938392501382623e-05
28,1.2881727343483362e-05
29,1.2828045328205917e-05
30,1.2750162568408996e-05
31,1.2654036254389212e-05
32,1.2613446415343788e-05
33,1.2594030522450339e-05
34,1.2577012967085466e-05
35,1.2554621207527816e-05
36,1.2532982509583235e-05
37,1.2493065696617123e-05
38,1.2429950402292889e-05
39,1.2382010027067736e-05
40,1.2344207789283246e-05
41,1.2311564205447212e-05
42,1.2277129826543387e-05
43,1.2223454177728854e-05
44,1.2163512110419106e-05
45,1.2084943591617048e-05
46,1.2031001460854895e-05
47,1.1969902516284492e-05
48,1.1923323654627893e-05
49,1.188318583444925e-05
50,1.1850642295030411e-05
51,1.1813992387033068e-05
52,1.1776756764447782e-05
53,1.1739080036932137e-05
54,1.1707033081620466e-05
55,1.1652025023067836e-05
56,1.1617419659160078e-05
57,1.159185831056675e-05
58,1.1570157766982447e-05
59,1.1536119927768596e-05
60,1.1503071618790273e-05
61,1.146007161878515e-05
62,1.1441547940194141e-05
63,1.1406250450818334e-05
64,1.1385168363631237e-05
65,1.136794890044257e-05
66,1.135009188146796e-05
67,1.1331838322803378e-05
68,1.1316782547510229e-05
69,1.127850373450201e-05
70,1.1249975614191499e-05
71,1.1210900993319228e-05
72,1.1182262824149802e-05
73,1.1154406820423901e-05
74,1.1105075827799737e-05
75,1.1078382158302702e-05
76,1.106998388422653e-05
77,1.1058971722377464e-05
78,1.1044317943742499e-05
79,1.1022383660019841e-05
80,1.0989588190568611e-05
81,1.0942999324470293e-05
82,1.087668351829052e-05
83,1.0822976037161425e-05
84,1.0790943633764982e-05
85,1.077308024832746e-05
86,1.0749135071819182e-05
87,1.069305380951846e-05
88,1.0666179150575772e-05
89,1.0625699360389262e-05
90,1.0612297046463937e-05
91,1.0604760063870344e-05
92,1.0590387319098227e-05
93,1.056607834470924e-05
94,1.054485619533807e-05
95,1.0519270290387794e-05
96,1.0498075425857678e-05
97,1.0472205758560449e-05
98,1.0447929525980726e-05
99,1.0424895663163625e-05
100,1.0400548489997163e-05
101,1.0378445949754678e-05
102,1.0351921446272172e-05
103,1.0329233191441745e-05
104,1.0301761903974693e-05
105,1.0288395969837438e-05
106,1.0278671652486082e-05
107,1.0266585377394222e-05
108,1.026792870106874e-05
109,1.0243317774438765e-05
110,1.0230925909127109e-05
111,1.0218413990514819e-05
112,1.0206909792032093e-05
113,1.0192879926762544e-05
114,1.0200313226960134e-05
115,1.0174346243729815e-05
116,1.0166985703108367e-05
117,1.0160071724385489e-05
118,1.0153977200388908e-05
119,1.0145632586500142e-05
120,1.0173700502491556e-05
121,1.0126704182766844e-05
122,1.0118179488927126e-05
123,1.010998948913766e-05
124,1.0101687621499877e-05
125,1.0092701813846361e-05
126,1.0078184459416661e-05
127,1.0096886398969218e-05
128,1.0065128662972711e-05
129,1.0061600733024534e-05
130,1.0059882697532885e-05
131,1.0058533916890156e-05
132,1.0055210623249877e-05
133,1.004972273221938e-05
134,1.0039898370450828e-05
135,1.0026224117609672e-05
136,1.0095287507283501e-05
137,1.000924839900108e-05
138,9.999893336498644e-06
139,9.995605068979785e-06
140,9.993429557653144e-06
141,9.991844308387954e-06
142,9.989695172407664e-06
143,9.9832495834562e-06
144,9.97312872641487e-06
145,9.965607205231208e-06
146,9.95766185951652e-06
147,9.950737876351923e-06
148,9.94426773104351e-06
149,9.927000974130351e-06
150,9.918535397446249e-06
151,9.912027053360362e-06
152,9.905110346153378e-06
153,9.897172276396304e-06
154,9.890421097225044e-06
155,9.883090569928754e-06
156,9.873437193164136e-06
157,9.859735655481927e-06
158,9.876581316348165e-06
159,9.838621735980269e-06
160,9.827003850659821e-06
161,9.812420103116892e-06
162,9.801060514291748e-06
163,9.779574611457065e-06
164,9.76212504610885e-06
165,9.746001524035819e-06
166,9.732695616548881e-06
167,9.775511898624245e-06
168,9.722150934976526e-06
169,9.716277418192476e-06
170,9.710813174024224e-06
171,9.701855560706463e-06
172,9.688957106845919e-06
173,9.667585800343659e-06
174,9.676939953351393e-06
175,9.63438014878193e-06
176,9.60288798523834e-06
177,9.5865034381859e-06
178,9.56187432166189e-06
179,9.543040505377576e-06
180,9.608394975657575e-06
181,9.529134331387468e-06
182,9.520331332169008e-06
183,9.51610581978457e-06
184,9.510855306871235e-06
185,9.505716661806218e-06
186,9.495507583778817e-06
187,9.478242645855062e-06
188,9.459024113311898e-06
189,9.442077498533763e-06
190,9.432505976292305e-06
191,9.403619515069295e-06
192,9.395751476404257e-06
193,9.383211363456212e-06
194,9.372533895657398e-06
195,9.358100214740261e-06
196,9.348392268293537e-06
197,9.334822607343085e-06
198,9.324347047368065e-06
199,9.315306670032442e-06
200,9.29478665057104e-06
201,9.311913345300127e-06
202,9.264234904549085e-06
203,9.251532901544124e-06
204,9.24165033211466e-06
205,9.233990567736328e-06
206,9.223792403645348e-06
207,9.244555258192122e-06
208,9.203097761201207e-06
209,9.194752237817738e-06
210,9.188292096951045e-06
211,9.183152542391326e-06
212,9.17455690796487e-06
213,9.156822670775e-06
214,9.144394425675273e-06
215,9.131058504863176e-06
216,9.117462468566373e-06
217,9.108944141189568e-06
218,9.091761967283674e-06
219,9.136752851190977e-06
220,9.063179277291056e-06
221,9.048768333741464e-06
222,9.03818363440223e-06
223,9.029373359226156e-06
224,9.028797649079934e-06
225,9.011200745590031e-06
226,9.006386790133547e-06
227,8.998757039080374e-06
228,8.987098226498347e-06
229,8.96367691893829e-06
230,8.945434274210129e-06
231,8.912409612094052e-06
232,8.892789992387407e-06
233,8.8825272541726e-06
234,8.874846571416128e-06
235,8.872293619788252e-06
236,8.867031283443794e-06
237,8.859238732839003e-06
238,8.85092140379129e-06
239,8.84428300196305e-06
240,8.834722393658012e-06
241,8.831037121126428e-06
242,8.819811228022445e-06
243,8.812962732918095e-06
244,8.805945071799215e-06
245,8.796586371317971e-06
246,8.788843842921779e-06
247,8.776511094765738e-06
248,8.770220119913574e-06
249,8.761024218983948e-06
250,8.75233490660321e-06
251,8.737292773730587e-06
252,8.72150940267602e-06
253,8.71285556058865e-06
254,8.699837962922174e-06
255,8.692893970874138e-06
256,8.683633495820686e-06
257,8.673804586578626e-06
258,8.664071174280252e-06
259,8.655529200041201e-06
260,8.646900823805481e-06
261,8.642031389172189e-06
262,8.637766768515576e-06
263,8.633199286123272e-06
264,8.626702765468508e-06
265,8.61959870235296e-06
266,8.609721589891706e-06
267,8.601853551226668e-06
268,8.595697181590367e-06
269,8.589586286689155e-06
270,8.581871043134015e-06
271,8.573064405936748e-06
272,8.574133971706033e-06
273,8.563510164094623e-06
274,8.559730304114055e-06
275,8.556079592381138e-06
276,8.551399332645815e-06
277,8.540787348465528e-06
278,8.53825440572109e-06
279,8.517950845998712e-06
280,8.504873221681919e-06
281,8.494230314681772e-06
282,8.48072704684455e-06
283,8.468404303130228e-06
284,8.459670425509103e-06
285,8.453510417893995e-06
286,8.447379514109343e-06
287,8.442869329883251e-06
288,8.433685252384748e-06
289,8.427316060988232e-06
290,8.42091776576126e-06
291,8.412267561652698e-06
292,8.404387699556537e-06
293,8.396831617574207e-06
294,8.38889718579594e-06
295,8.386688932660036e-06
296,8.375989636988379e-06
297,8.370036084670573e-06
298,8.364492714463267e-06
299,8.360497304238379e-06
300,8.354051715286914e-06
301,8.361828804481775e-06
302,8.339524356415495e-06
303,8.333214282174595e-06
304,8.327264367835596e-06
305,8.322698704432696e-06
306,8.315567356476095e-06
307,8.324392183567397e-06
308,8.292712664115243e-06
309,8.280668225779664e-06
310,8.26732321002055e-06
311,8.256150977103971e-06
312,8.241616342274938e-06
313,8.701286787982099e-06
314,8.241690011345781e-06
315,8.217229151341598e-06
316,8.21257162897382e-06
317,8.206842721847352e-06
318,8.200700904126279e-06
319,8.190258085960522e-06
320,8.189124855562113e-06
321,8.170749424607493e-06
322,8.161800906236749e-06
323,8.153266207955312e-06
324,8.145104402501602e-06
325,8.13321275927592e-06
326,8.11493464425439e-06
327,8.097419595287647e-06
328,8.083210559561849e-06
329,8.07503420219291e-06
330,8.067832823144272e-06
331,8.06505613581976e-06
332,8.05890613264637e-06
333,8.047263690968975e-06
334,8.066219379543327e-06
335,8.03038346930407e-06
336,8.022360816539731e-06
337,8.015293133212253e-06
338,8.01022815721808e-06
339,8.004158189578447e-06
340,8.0004920164356e-06
341,7.995268788363319e-06
342,7.9892060966813e-06
343,7.982622264535166e-06
344,7.973896572366357e-06
345,7.964725227793679e-06
346,7.95119831309421e-06
347,7.943138371047098e-06
348,7.933055712783244e-06
349,8.024069757084362e-06
350,7.924294550321065e-06
351,7.915155038062949e-06
352,7.910070053185336e-06
353,7.905491656856611e-06
354,7.900271157268435e-06
355,7.893324436736293e-06
356,7.883251782914158e-06
357,7.868637112551369e-06
358,7.860980076657142e-06
359,7.852558155718725e-06
360,7.849298526707571e-06
361,7.844418178137857e-06
362,7.83560153649887e-06
363,7.821664439688902e-06
364,7.821005056030117e-06
365,7.800252205925062e-06
366,7.791697498760186e-06
367,7.777435712341685e-06
368,7.758335414109752e-06
369,7.768786417727824e-06
370,7.740905857644975e-06
371,7.734031896688975e-06
372,7.728621312708128e-06
373,7.723754606558941e-06
374,7.716117579548154e-06
375,7.700601599935908e-06
376,7.703130904701538e-06
377,7.668888429179788e-06
378,7.651470696146134e-06
379,7.633522727701347e-06
380,7.61261480874964e-06
381,7.579008979519131e-06
382,7.735730832791887e-06
383,7.552760507678613e-06
384,7.5372659011918586e-06
385,7.53126960262307e-06
386,7.526831268478418e-06
387,7.521107818320161e-06
388,7.510952855227515e-06
389,7.497455044358503e-06
390,7.49102036934346e-06
391,7.473924142686883e-06
392,7.458758318534819e-06
393,7.444962648150977e-06
394,7.425412604789017e-06
395,7.409156751236878e-06
396,7.38733479010989e-06
397,7.372153959295247e-06
398,7.3499977588653564e-06
399,7.327979346882785e-06
400,7.3082860581052955e-06
401,7.287615972018102e-06
402,7.275809366547037e-06
403,7.268898571055615e-06
404,7.259255198732717e-06
405,7.242570063681342e-06
406,7.222949534479994e-06
407,7.204995199572295e-06
408,7.187615210568765e-06
409,7.171022843976971e-06
410,7.147606993385125e-06
411,7.128222478058888e-06
412,7.114822437870316e-06
413,7.1119256972451694e-06
414,7.0937335294729564e-06
415,7.086441655701492e-06
416,7.080123850755626e-06
417,7.0741552917752415e-06
418,7.06536684447201e-06
419,7.050196927593788e-06
420,7.040914169920143e-06
421,7.026562798273517e-06
422,7.012884452706203e-06
423,7.00253576724208e-06
424,6.9912493927404284e-06
425,6.975733867875533e-06
426,6.956267043278785e-06
427,6.941654646652751e-06
428,6.925887191755464e-06
429,6.909851890668506e-06
430,6.891033990541473e-06
431,6.871553523524199e-06
432,6.853335889900336e-06
433,6.838301032985328e-06
434,6.818397196184378e-06
435,6.802581083320547e-06
436,6.787591701140627e-06
437,6.778428996767616e-06
438,6.7641340137925e-06
439,6.7510104599932674e-06
440,6.732610472681699e-06
441,6.7179385041526984e-06
442,6.708164619340096e-06
443,6.704241513943998e-06
444,6.698849574604537e-06
445,6.694752755720401e-06
446,6.69072005621274e-06
447,6.685690550511936e-06
448,6.68042957840953e-06
449,6.67449921820662e-06
450,6.670489256066503e-06
451,6.661342467850773e-06
452,6.656518507952569e-06
453,6.649211627518525e-06
454,6.721749286953127e-06
455,6.639884304604493e-06
456,6.6318038989265915e-06
457,6.626946742471773e-06
458,6.622400633204961e-06
459,6.617482540605124e-06
460,6.607915565837175e-06
461,6.6160628193756565e-06
462,6.592442787223263e-06
463,6.587546977243619e-06
464,6.583964022865985e-06
465,6.5782519413915e-06
466,6.567976015503518e-06
467,6.611123353650328e-06
468,6.557776487170486e-06
469,6.551704245794099e-06
470,6.548096280312166e-06
471,6.544481493619969e-06
472,6.540929916809546e-06
473,6.533317900903057e-06
474,6.5243011704296805e-06
475,6.515599125123117e-06
476,6.510123057523742e-06
477,6.505080818897113e-06
478,6.498434231616557e-06
479,6.487742211902514e-06
480,6.476916951214662e-06
481,6.46826720185345e-06
482,6.462451437982963e-06
483,6.451498393289512e-06
484,6.44260217086412e-06
485,6.43114208287443e-06
486,6.419603778340388e-06
487,6.412590664695017e-06
488,6.4060641307150945e-06
489,6.4023274717328604e-06
490,6.393935109372251e-06
491,6.379571914294502e-06
492,6.3638603933213744e-06
493,6.351390766212717e-06
494,6.3439138102694415e-06
495,6.3356669670611154e-06
496,6.330397809506394e-06
497,6.3191646404447965e-06
498,6.306221621343866e-06
499,6.29348596703494e-06
500,6.2993221945362166e-06
